doc/11_archive/doctest_integration.md:70	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/doctest_integration.md:101	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/sdoctest_implementation.md:150	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/LLVM_ACHIEVEMENT.md:221	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/async_by_default.md:26	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/async_by_default.md:98	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/async_by_default.md:130	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/async_by_default.md:293	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/async_by_default.md:306	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/async_by_default.md:315	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/async_by_default.md:327	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/async_by_default_STATUS.md:86	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/async_by_default_STATUS.md:93	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/async_by_default_STATUS.md:99	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/async_by_default_STATUS.md:107	B_IGNORED_ROOT	simple	unadjudicated
doc/11_archive/async_by_default_STATUS.md:139	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/async_io_backend_comparison_2026-02-23.md:568	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/eval_performance_optimization_2026-02-15.md:10	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/eval_performance_optimization_2026-02-15.md:19	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/eval_performance_optimization_2026-02-15.md:29	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/eval_performance_optimization_2026-02-15.md:39	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/eval_performance_optimization_2026-02-15.md:53	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/eval_performance_optimization_2026-02-15.md:64	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/eval_performance_optimization_2026-02-15.md:72	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/eval_performance_optimization_2026-02-15.md:80	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/eval_performance_optimization_2026-02-15.md:91	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/monoio_limitations.md:74	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/monoio_limitations.md:102	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/monoio_limitations.md:125	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/rust_high_performance_patterns_2026-02-04.md:116	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/rust_high_performance_patterns_2026-02-04.md:192	B_IGNORED_ROOT	simple	unadjudicated
doc/01_research/runtime/rust_high_performance_patterns_2026-02-04.md:236	B_IGNORED_ROOT	simple	unadjudicated
